country,time,household
LVA,2015,343.8063
LVA,2016,349.7424
LVA,2017,356.0467
LVA,2018,351.8301
LVA,2019,358.1719
MEX,2003,182.3634
MEX,2004,198.4076
MEX,2005,205.3802
MEX,2006,206.948
MEX,2007,221.035
MEX,2008,216.7999
MEX,2009,217.902
MEX,2010,233.2011
MEX,2011,243.876
MEX,2012,270.7905
MEX,2013,263.0189
MEX,2014,270.9736
MEX,2015,271.5924
MEX,2016,285.4346
MEX,2017,309.0928
MEX,2018,319.9449
MEX,2019,323.696
MEX,2020,365.1974
LTU,1995,315.6257
LTU,1996,291.7948
LTU,1997,283.4037
LTU,1998,249.0676
LTU,1999,239.0308
LTU,2000,231.527
LTU,2001,220.6688
LTU,2002,220.3844
LTU,2003,216.9242
LTU,2004,215.4219
LTU,2005,226.3384
LTU,2006,219.568
LTU,2007,239.5379
LTU,2008,210.2545
LTU,2009,193.7086
LTU,2010,192.6198
LTU,2011,196.4827
LTU,2012,202.857
LTU,2013,211.2022
LTU,2014,212.8873
LTU,2015,221.4631
LTU,2016,224.6104
LTU,2017,232.3767
LTU,2018,231.1762
LTU,2019,231.8632
ESP,1995,308.8887
ESP,1996,314.1602
ESP,1997,323.2871
ESP,1998,341.5519
ESP,1999,351.4795
ESP,2000,334.8446
ESP,2001,331.2935
ESP,2002,324.2118
ESP,2003,340.0018
ESP,2004,352.5441
ESP,2005,368.9498
ESP,2006,391.0597
ESP,2007,380.9443
ESP,2008,328.5479
ESP,2009,335.2332
ESP,2010,332.0333
ESP,2011,316.5743
ESP,2012,325.4563
ESP,2013,352.042
ESP,2014,373.0132
ESP,2015,402.5874
ESP,2016,399.3086
ESP,2017,392.2701
ESP,2018,385.2155
ESP,2019,390.7863
