"Date","Price","Open","High","Low","Change %"
"07/17/2016","270.38","245.94","281.01","245.94","22.82%"
"07/10/2016","220.14","217.72","220.44","217.72","-3.40%"
"07/03/2016","227.88","235.11","241.45","233.18","-7.74%"
"06/26/2016","247.00","259.64","259.64","239.14","-3.83%"
"06/19/2016","256.84","247.45","256.84","241.55","-1.35%"
"06/12/2016","260.35","252.17","266.72","252.17","3.96%"
"06/05/2016","250.44","255.05","260.95","237.66","-1.72%"
"05/29/2016","254.83","266.17","267.28","254.83","-4.29%"
"05/22/2016","266.24","275.19","276.86","266.16","-2.95%"
"05/15/2016","274.32","265.21","276.23","264.74","3.44%"
"05/08/2016","265.21","264.98","265.21","260.19","0.07%"
"05/01/2016","265.02","236.17","265.02","236.17","12.20%"
"04/24/2016","236.20","232.29","239.12","231.77","1.69%"
"04/17/2016","232.28","240.87","240.87","226.41","-3.54%"
"04/10/2016","240.81","265.54","265.60","240.43","-8.86%"
"04/03/2016","264.21","256.62","265.60","254.64","2.93%"
"03/27/2016","256.69","265.24","265.25","252.92","-3.22%"
"03/20/2016","265.24","243.50","265.30","243.50","12.58%"
"03/13/2016","235.60","247.95","256.82","235.60","-5.01%"
"03/06/2016","248.03","274.83","278.97","248.03","-9.78%"
"02/28/2016","274.91","300.19","300.19","274.91","-8.48%"
"02/21/2016","300.37","303.65","303.65","291.26","-1.09%"
"02/14/2016","303.69","296.22","309.04","296.22","2.48%"
"02/07/2016","296.34","285.50","306.02","285.50","3.78%"
"01/31/2016","285.56","275.71","288.05","275.71","3.63%"
"01/24/2016","275.56","284.31","285.32","270.47","-3.11%"
"01/17/2016","284.40","310.54","311.51","284.40","-8.36%"
"01/10/2016","310.34","299.17","310.34","294.97","3.75%"
"01/03/2016","299.11","267.52","299.11","267.52","11.81%"
